date,inflow_mgd
1942-03-05,134.2449844564
1942-03-06,164.4803413159
1942-03-07,203.7863052334
1942-03-08,512.7916523379
1942-03-09,1880.6391966639
1942-03-10,1076.3787041999
1942-03-11,834.4958493235
1942-03-12,1330.3557018201
1942-03-13,991.7197049932
1942-03-14,1106.6140610595
1942-03-15,1233.6025598696
1942-03-16,907.0607057865
1942-03-17,858.6841348112
1942-03-18,786.1192783483
1942-03-19,601.6836015050
1942-03-20,495.8598524966
1942-03-21,430.5514816800
1942-03-22,559.3541019016
1942-03-23,488.6033668503
1942-03-24,412.4102675642
1942-03-25,347.1018967476
1942-03-26,305.3771042814
1942-03-27,275.1417474219
1942-03-28,471.0668598718
1942-03-29,713.5544218853
1942-03-30,559.3541019016
1942-03-31,559.3541019016
1942-04-01,508.5587023776
1942-04-02,463.2056670883
1942-04-03,434.1797245031
1942-04-04,484.9751240272
1942-04-05,441.4362101494
1942-04-06,373.7090107840
1942-04-07,330.1700969063
1942-04-08,302.3535685955
1942-04-09,1396.8734869112
1942-04-10,2745.3704028470
1942-04-11,1741.5565551100
1942-04-12,1167.0847747786
1942-04-13,907.0607057865
1942-04-14,761.9309928606
1942-04-15,622.8483513067
1942-04-16,504.3257524173
1942-04-17,430.5514816800
1942-04-18,405.1537819180
1942-04-19,353.7536752567
1942-04-20,311.4241756534
1942-04-21,281.1888187938
1942-04-22,246.7205119739
1942-04-23,220.7181050747
1942-04-24,180.2027268829
1942-04-25,162.0615127672
1942-04-26,147.5485414746
1942-04-27,136.0591058680
1942-04-28,128.1979130845
1942-04-29,147.5485414746
1942-04-30,175.3650697854
1942-05-01,136.0591058680
1942-05-02,119.1273060266
1942-05-03,110.6614061059
1942-05-04,387.0125678022
1942-05-05,367.0572322749
1942-05-06,240.6734406020
1942-05-07,481.9515883412
1942-05-08,441.4362101494
1942-05-09,360.4054537658
1942-05-10,296.3064972236
1942-05-11,284.2123544798
1942-05-12,232.8122478185
1942-05-13,201.3674766846
1942-05-14,172.9462412366
1942-05-15,160.2473913556
1942-05-16,2316.0283354414
1942-05-17,1354.5439873078
1942-05-18,786.1192783483
1942-05-19,559.3541019016
1942-05-20,488.6033668503
1942-05-21,474.0903955577
1942-05-22,2080.1925519369
1942-05-23,1584.3326994404
1942-05-24,931.2489912741
1942-05-25,665.1778509101
1942-05-26,500.0928024569
1942-05-27,397.8972962717
1942-05-28,327.1465612203
1942-05-29,266.0711403640
1942-05-30,225.5557621722
1942-05-31,201.3674766846
1942-06-01,246.7205119739
1942-06-02,223.1369336235
1942-06-03,166.2944627275
1942-06-04,137.8732272795
1942-06-05,124.5696702613
1942-06-06,109.4519918316
1942-06-07,93.7296062646
1942-06-08,157.8285628068
1942-06-09,157.8285628068
1942-06-10,116.1037703407
1942-06-11,112.4755275175
1942-06-12,137.8732272795
1942-06-13,110.6614061059
1942-06-14,96.7531419506
1942-06-15,93.7296062646
1942-06-16,79.8213421092
1942-06-17,117.9178917522
1942-06-18,126.3837916729
1942-06-19,85.2637063439
1942-06-20,81.0307563836
1942-06-21,81.0307563836
1942-06-22,136.0591058680
1942-06-23,184.4356768432
1942-06-24,139.6873486911
1942-06-25,87.6825348927
1942-06-26,70.7507350513
1942-06-27,124.5696702613
1942-06-28,141.5014701027
1942-06-29,93.7296062646
1942-06-30,68.3319065026
1942-07-01,169.3179984135
1942-07-02,137.8732272795
1942-07-03,96.7531419506
1942-07-04,68.3319065026
1942-07-05,56.2377637588
1942-07-06,53.8189352100
1942-07-07,107.6378704200
1942-07-08,122.7555488498
1942-07-09,68.3319065026
1942-07-10,56.2377637588
1942-07-11,70.1460279142
1942-07-12,87.6825348927
1942-07-13,58.0518851703
1942-07-14,43.5389138778
1942-07-15,36.8871353686
1942-07-16,34.4683068199
1942-07-17,29.6306497224
1942-07-18,24.7929926248
1942-07-19,22.3741640761
1942-07-20,39.9106710546
1942-07-21,47.1671567009
1942-07-22,52.6095209356
1942-07-23,40.5153781918
1942-07-24,36.8871353686
1942-07-25,36.2824282315
1942-07-26,34.4683068199
1942-07-27,71.3554421885
1942-07-28,93.7296062646
1942-07-29,59.2612994447
1942-07-30,42.3294996034
1942-07-31,38.7012567802
1942-08-01,35.0730139571
1942-08-02,29.6306497224
1942-08-03,39.9106710546
1942-08-04,174.1556555110
1942-08-05,68.3319065026
1942-08-06,50.1906923869
1942-08-07,56.8424708960
1942-08-08,52.6095209356
1942-08-09,223.7416407607
1942-08-10,455.9491814420
1942-08-11,184.4356768432
1942-08-12,102.8002133225
1942-08-13,120.9414274382
1942-08-14,470.4621527346
1942-08-15,198.9486481358
1942-08-16,251.5581690714
1942-08-17,186.8545053920
1942-08-18,238.2546120532
1942-08-19,143.3155915143
1942-08-20,102.8002133225
1942-08-21,82.2401706580
1942-08-22,163.8756341788
1942-08-23,622.8483513067
1942-08-24,1076.3787041999
1942-08-25,474.0903955577
1942-08-26,278.1652831078
1942-08-27,189.2733339408
1942-08-28,145.7344200630
1942-08-29,390.6408106254
1942-08-30,383.3843249791
1942-08-31,251.5581690714
1942-09-01,172.9462412366
1942-09-02,134.2449844564
1942-09-03,112.4755275175
1942-09-04,96.7531419506
1942-09-05,89.4966563043
1942-09-06,79.8213421092
1942-09-07,68.3319065026
1942-09-08,71.9601493257
1942-09-09,86.4731206183
1942-09-10,85.2637063439
1942-09-11,87.6825348927
1942-09-12,119.1273060266
1942-09-13,78.0072206976
1942-09-14,65.9130779538
1942-09-15,60.4707137191
1942-09-16,79.8213421092
1942-09-17,100.3813847737
1942-09-18,314.4477113393
1942-09-19,364.0336965890
1942-09-20,194.1109910383
1942-09-21,153.5956128465
1942-09-22,117.9178917522
1942-09-23,96.7531419506
1942-09-24,97.9625562249
1942-09-25,90.7060705786
1942-09-26,78.0072206976
1942-09-27,423.2949960337
1942-09-28,517.0246022983
1942-09-29,281.1888187938
1942-09-30,201.3674766846
1942-10-01,168.7132912763
1942-10-02,145.7344200630
1942-10-03,124.5696702613
1942-10-04,116.1037703407
1942-10-05,128.1979130845
1942-10-06,147.5485414746
1942-10-07,136.0591058680
1942-10-08,102.8002133225
1942-10-09,90.7060705786
1942-10-10,83.4495849324
1942-10-11,79.8213421092
1942-10-12,76.7978064233
1942-10-13,73.1695636001
